,INJCSP Index_ratio
10402,904.1291491993101
10403,904.1291491993101
10404,904.1291491993101
10405,904.1291491993101
10406,904.1291491993101
10407,1025.0464405271
10408,1025.0464405271
10409,1025.0464405271
10410,1025.0464405271
10411,1025.0464405271
10412,1025.0464405271
10413,1025.0464405271
10414,1025.0464405271
10415,1025.0464405271
10416,1025.0464405271
10417,1025.0464405271
10418,1025.0464405271
10419,1025.0464405271
10420,1025.0464405271
10421,1025.0464405271
10422,1025.0464405271
10423,1025.0464405271
10424,1025.0464405271
10425,1025.0464405271
10426,1025.0464405271
10427,1025.0464405271
10428,1025.0464405271
10429,1025.0464405271
10430,1025.0464405271
10431,1025.0464405271
10432,1025.0464405271
10433,1025.0464405271
10434,1025.0464405271
10435,1025.0464405271
10436,1025.0464405271
10437,1025.0464405271
10438,1025.0464405271
10439,1025.0464405271
10440,1025.0464405271
10441,1025.0464405271
10442,1025.0464405271
10443,1025.0464405271
10444,1025.0464405271
10445,1025.0464405271
10446,1025.0464405271
10447,1025.0464405271
10448,1025.0464405271
10449,1025.0464405271
10450,1025.0464405271
10451,1025.0464405271
10452,1025.0464405271
10453,1025.0464405271
10454,1025.0464405271
10455,1025.0464405271
10456,1025.0464405271
10457,1025.0464405271
10458,1025.0464405271
10459,1025.0464405271
10460,1025.0464405271
10461,1025.0464405271
10462,1025.0464405271
10463,1025.0464405271
10464,1025.0464405271
10465,1025.0464405271
10466,1025.0464405271
10467,1025.0464405271
10468,1025.0464405271
10469,1025.0464405271
10470,1025.0464405271
10471,1025.0464405271
10472,1025.0464405271
10473,1025.0464405271
10474,1025.0464405271
10475,1025.0464405271
10476,1025.0464405271
10477,1025.0464405271
10478,1025.0464405271
10479,1025.0464405271
10480,1025.0464405271
10481,1025.0464405271
10482,1025.0464405271
10483,1025.0464405271
10484,1025.0464405271
10485,1025.0464405271
10486,1025.0464405271
10487,1025.0464405271
10488,1025.0464405271
10489,1025.0464405271
10490,1025.0464405271
10491,1025.0464405271
10492,1025.0464405271
10493,1025.0464405271
10494,1025.0464405271
10495,1025.0464405271
10496,1025.0464405271
10497,1025.0464405271
10498,1025.0464405271
10499,964.7888638888629
10500,964.7888638888629
10501,964.7888638888629
10502,964.7888638888629
10503,964.7888638888629
10504,964.7888638888629
10505,964.7888638888629
10506,964.7888638888629
10507,964.7888638888629
10508,964.7888638888629
10509,964.7888638888629
10510,964.7888638888629
10511,964.7888638888629
10512,964.7888638888629
10513,964.7888638888629
10514,964.7888638888629
10515,964.7888638888629
10516,964.7888638888629
10517,964.7888638888629
10518,964.7888638888629
10519,964.7888638888629
10520,964.7888638888629
10521,964.7888638888629
10522,964.7888638888629
10523,964.7888638888629
10524,964.7888638888629
10525,964.7888638888629
10526,964.7888638888629
10527,964.7888638888629
10528,964.7888638888629
10529,964.7888638888629
10530,964.7888638888629
10531,964.7888638888629
10532,964.7888638888629
10533,964.7888638888629
10534,964.7888638888629
10535,964.7888638888629
10536,964.7888638888629
10537,964.7888638888629
10538,964.7888638888629
10539,964.7888638888629
10540,964.7888638888629
10541,964.7888638888629
10542,964.7888638888629
10543,964.7888638888629
10544,964.7888638888629
10545,964.7888638888629
10546,964.7888638888629
10547,964.7888638888629
10548,964.7888638888629
10549,964.7888638888629
10550,964.7888638888629
10551,964.7888638888629
10552,964.7888638888629
10553,964.7888638888629
10554,964.7888638888629
10555,964.7888638888629
10556,964.7888638888629
10557,964.7888638888629
10558,964.7888638888629
10559,964.7888638888629
10560,964.7888638888629
10561,964.7888638888629
10562,964.7888638888629
10563,964.7888638888629
10564,964.7888638888629
10565,964.7888638888629
10566,964.7888638888629
10567,964.7888638888629
10568,964.7888638888629
10569,964.7888638888629
10570,964.7888638888629
10571,964.7888638888629
10572,964.7888638888629
10573,964.7888638888629
10574,964.7888638888629
10575,964.7888638888629
10576,964.7888638888629
10577,964.7888638888629
10578,964.7888638888629
10579,964.7888638888629
10580,964.7888638888629
10581,964.7888638888629
10582,964.7888638888629
10583,964.7888638888629
10584,964.7888638888629
10585,964.7888638888629
10586,964.7888638888629
10587,964.7888638888629
10588,964.7888638888629
10589,964.7888638888629
10590,964.7888638888629
10591,1064.8265614256354
10592,1064.8265614256354
10593,1064.8265614256354
10594,1064.8265614256354
10595,1064.8265614256354
10596,1064.8265614256354
10597,1064.8265614256354
10598,1064.8265614256354
10599,1064.8265614256354
10600,1064.8265614256354
10601,1064.8265614256354
10602,1064.8265614256354
10603,1064.8265614256354
10604,1064.8265614256354
10605,1064.8265614256354
10606,1064.8265614256354
10607,1064.8265614256354
10608,1064.8265614256354
10609,1064.8265614256354
10610,1064.8265614256354
10611,1064.8265614256354
10612,1064.8265614256354
10613,1064.8265614256354
10614,1064.8265614256354
10615,1064.8265614256354
10616,1064.8265614256354
10617,1064.8265614256354
10618,1064.8265614256354
10619,1064.8265614256354
10620,1064.8265614256354
10621,1064.8265614256354
10622,1064.8265614256354
10623,1064.8265614256354
10624,1064.8265614256354
10625,1064.8265614256354
10626,1064.8265614256354
10627,1064.8265614256354
10628,1064.8265614256354
10629,1064.8265614256354
10630,1064.8265614256354
10631,1064.8265614256354
10632,1064.8265614256354
10633,1064.8265614256354
10634,1064.8265614256354
10635,1064.8265614256354
10636,1064.8265614256354
10637,1064.8265614256354
10638,1064.8265614256354
