,USMMMNCH Index_ratio
10613,597.9510201732423
10614,597.9510201732423
10615,597.9510201732423
10616,597.9510201732423
10617,597.9510201732423
10618,597.9510201732423
10619,597.9510201732423
10620,597.9510201732423
10621,597.9510201732423
10622,597.9510201732423
10623,597.9510201732423
10624,597.9510201732423
10625,597.9510201732423
10626,597.9510201732423
10627,597.9510201732423
10628,597.9510201732423
10629,597.9510201732423
10630,597.9510201732423
10631,597.9510201732423
10632,597.9510201732423
10633,597.9510201732423
10634,597.9510201732423
10635,597.9510201732423
10636,597.9510201732423
10637,597.9510201732423
10638,597.9510201732423
10639,597.9510201732423
10640,597.9510201732423
10641,597.9510201732423
10642,597.9510201732423
10643,597.9510201732423
10644,597.9510201732423
10645,597.9510201732423
10646,597.9510201732423
10647,597.9510201732423
10648,597.9510201732423
10649,597.9510201732423
10650,597.9510201732423
10651,597.9510201732423
