,GBPUSD Curncy_ratio
10655,1017.4375732463665
10656,1017.4375732463665
10657,1017.4375732463665
10658,1017.4375732463665
10659,1017.4375732463665
10660,1017.4375732463665
10661,1017.4375732463665
10662,1017.4375732463665
10663,1017.4375732463665
10664,1017.4375732463665
10665,1017.4375732463665
10666,1017.4375732463665
10667,1017.4375732463665
10668,1017.4375732463665
10669,1017.4375732463665
10670,1017.4375732463665
10671,1017.4375732463665
10672,1017.4375732463665
10673,1017.4375732463665
10674,1017.4375732463665
10675,1017.4375732463665
10676,1017.4375732463665
10677,1017.4375732463665
10678,1017.4375732463665
10679,1017.4375732463665
10680,1017.4375732463665
10681,1031.9775231342219
10682,1031.9775231342219
10683,1031.9775231342219
10684,1031.9775231342219
10685,1031.9775231342219
10686,1031.9775231342219
10687,1031.9775231342219
10688,1031.9775231342219
10689,1031.9775231342219
10690,1031.9775231342219
10691,1031.9775231342219
10692,1031.9775231342219
10693,1031.9775231342219
10694,1031.9775231342219
10695,1031.9775231342219
10696,1031.9775231342219
10697,1031.9775231342219
10698,1031.9775231342219
10699,1031.9775231342219
10700,1031.9775231342219
10701,1031.9775231342219
10702,1031.9775231342219
10703,1031.9775231342219
10704,1031.9775231342219
10705,1031.9775231342219
10706,1031.9775231342219
10707,1031.9775231342219
10708,1031.9775231342219
10709,1031.9775231342219
10710,1031.9775231342219
10711,1031.9775231342219
10712,1031.9775231342219
10713,1031.9775231342219
10714,1031.9775231342219
10715,1031.9775231342219
10716,1031.9775231342219
10717,1031.9775231342219
10718,1031.9775231342219
10719,1031.9775231342219
10720,1031.9775231342219
10721,1031.9775231342219
10722,1031.9775231342219
10723,1031.9775231342219
10724,1031.9775231342219
10725,1031.9775231342219
10726,1031.9775231342219
10727,1031.9775231342219
10728,1031.9775231342219
10729,1031.9775231342219
10730,1031.9775231342219
10731,1031.9775231342219
10732,1031.9775231342219
10733,1031.9775231342219
10734,1031.9775231342219
10735,1031.9775231342219
10736,1031.9775231342219
10737,1031.9775231342219
10738,1031.9775231342219
10739,1031.9775231342219
10740,1031.9775231342219
10741,1031.9775231342219
10742,1031.9775231342219
10743,1031.9775231342219
10744,1031.9775231342219
10745,1031.9775231342219
10746,1031.9775231342219
10747,1031.9775231342219
10748,1031.9775231342219
10749,1031.9775231342219
10750,1031.9775231342219
10751,1031.9775231342219
10752,1031.9775231342219
10753,1031.9775231342219
10754,1031.9775231342219
10755,1031.9775231342219
10756,1031.9775231342219
10757,1031.9775231342219
10758,1031.9775231342219
10759,1031.9775231342219
10760,1031.9775231342219
10761,1031.9775231342219
10762,1031.9775231342219
10763,1031.9775231342219
10764,1031.9775231342219
10765,1031.9775231342219
10766,1031.9775231342219
10767,1031.9775231342219
10768,1031.9775231342219
10769,1031.9775231342219
10770,1031.9775231342219
10771,1031.9775231342219
10772,1073.0397450807377
10773,1073.0397450807377
10774,1073.0397450807377
10775,1073.0397450807377
10776,1073.0397450807377
10777,1073.0397450807377
10778,1073.0397450807377
10779,1073.0397450807377
10780,1073.0397450807377
10781,1073.0397450807377
10782,1073.0397450807377
10783,1073.0397450807377
10784,1073.0397450807377
10785,1073.0397450807377
10786,1073.0397450807377
10787,1073.0397450807377
10788,1073.0397450807377
10789,1073.0397450807377
10790,1073.0397450807377
10791,1073.0397450807377
10792,1073.0397450807377
10793,1073.0397450807377
10794,1073.0397450807377
10795,1073.0397450807377
10796,1073.0397450807377
10797,1073.0397450807377
10798,1073.0397450807377
10799,1073.0397450807377
10800,1073.0397450807377
10801,1073.0397450807377
10802,1073.0397450807377
10803,1073.0397450807377
10804,1073.0397450807377
10805,1073.0397450807377
10806,1073.0397450807377
10807,1073.0397450807377
10808,1073.0397450807377
10809,1073.0397450807377
10810,1073.0397450807377
10811,1073.0397450807377
10812,1073.0397450807377
10813,1073.0397450807377
10814,1073.0397450807377
10815,1073.0397450807377
10816,1073.0397450807377
10817,1073.0397450807377
10818,1073.0397450807377
10819,1073.0397450807377
10820,1073.0397450807377
10821,1073.0397450807377
10822,1073.0397450807377
10823,1073.0397450807377
10824,1073.0397450807377
10825,1073.0397450807377
10826,1073.0397450807377
10827,1073.0397450807377
10828,1073.0397450807377
10829,1073.0397450807377
10830,1073.0397450807377
10831,1073.0397450807377
10832,1073.0397450807377
10833,1073.0397450807377
10834,1073.0397450807377
10835,1073.0397450807377
10836,1073.0397450807377
10837,1073.0397450807377
10838,1073.0397450807377
10839,1073.0397450807377
10840,1073.0397450807377
10841,1073.0397450807377
10842,1073.0397450807377
10843,1073.0397450807377
10844,1073.0397450807377
10845,1073.0397450807377
10846,1073.0397450807377
10847,1073.0397450807377
10848,1073.0397450807377
10849,1073.0397450807377
10850,1073.0397450807377
10851,1073.0397450807377
10852,1073.0397450807377
10853,1073.0397450807377
10854,1073.0397450807377
10855,1073.0397450807377
10856,1073.0397450807377
10857,1073.0397450807377
10858,1073.0397450807377
10859,1073.0397450807377
10860,1073.0397450807377
10861,1073.0397450807377
10862,1073.0397450807377
10863,1073.0397450807377
10864,967.1819400595965
10865,967.1819400595965
10866,967.1819400595965
10867,967.1819400595965
10868,967.1819400595965
