,NHSPATOT Index_ratio
10704,1045.0540256006718
10705,1045.0540256006718
10706,1045.0540256006718
10707,1045.0540256006718
10708,1045.0540256006718
10709,1045.0540256006718
10710,1045.0540256006718
10711,1045.0540256006718
10712,1045.0540256006718
10713,1045.0540256006718
10714,1045.0540256006718
10715,1045.0540256006718
10716,1045.0540256006718
10717,1045.0540256006718
10718,1045.0540256006718
10719,1045.0540256006718
10720,1045.0540256006718
10721,1045.0540256006718
10722,1045.0540256006718
10723,1045.0540256006718
10724,1045.0540256006718
10725,1045.0540256006718
10726,1045.0540256006718
10727,1045.0540256006718
10728,1045.0540256006718
10729,1045.0540256006718
10730,1045.0540256006718
10731,1045.0540256006718
10732,1045.0540256006718
10733,1045.0540256006718
10734,1045.0540256006718
10735,1045.0540256006718
10736,1045.0540256006718
10737,1045.0540256006718
10738,1045.0540256006718
10739,1045.0540256006718
10740,1045.0540256006718
10741,1045.0540256006718
10742,1045.0540256006718
10743,1045.0540256006718
10744,1045.0540256006718
10745,1045.0540256006718
10746,1045.0540256006718
10747,1045.0540256006718
10748,1045.0540256006718
10749,1045.0540256006718
10750,1045.0540256006718
10751,1045.0540256006718
10752,1045.0540256006718
10753,1045.0540256006718
10754,1045.0540256006718
10755,1045.0540256006718
10756,1045.0540256006718
10757,1045.0540256006718
10758,1045.0540256006718
10759,1045.0540256006718
10760,1045.0540256006718
10761,1045.0540256006718
10762,1045.0540256006718
10763,1045.0540256006718
10764,1045.0540256006718
10765,1045.0540256006718
10766,1045.0540256006718
10767,1045.0540256006718
10768,1045.0540256006718
10769,1045.0540256006718
10770,1045.0540256006718
10771,1045.0540256006718
10772,953.7220624050912
10773,953.7220624050912
10774,953.7220624050912
10775,953.7220624050912
10776,953.7220624050912
10777,953.7220624050912
10778,953.7220624050912
10779,953.7220624050912
10780,953.7220624050912
10781,953.7220624050912
10782,953.7220624050912
10783,953.7220624050912
10784,953.7220624050912
10785,953.7220624050912
10786,953.7220624050912
10787,953.7220624050912
10788,953.7220624050912
10789,953.7220624050912
10790,953.7220624050912
10791,953.7220624050912
10792,953.7220624050912
10793,953.7220624050912
10794,953.7220624050912
10795,953.7220624050912
10796,953.7220624050912
10797,953.7220624050912
10798,953.7220624050912
10799,953.7220624050912
10800,953.7220624050912
10801,953.7220624050912
10802,953.7220624050912
10803,953.7220624050912
10804,953.7220624050912
10805,953.7220624050912
10806,953.7220624050912
10807,953.7220624050912
10808,953.7220624050912
10809,953.7220624050912
10810,953.7220624050912
10811,953.7220624050912
10812,953.7220624050912
10813,953.7220624050912
10814,953.7220624050912
10815,953.7220624050912
10816,953.7220624050912
10817,953.7220624050912
10818,953.7220624050912
10819,953.7220624050912
10820,953.7220624050912
10821,953.7220624050912
10822,953.7220624050912
10823,953.7220624050912
10824,953.7220624050912
10825,953.7220624050912
10826,953.7220624050912
10827,953.7220624050912
10828,953.7220624050912
10829,953.7220624050912
10830,953.7220624050912
10831,953.7220624050912
10832,953.7220624050912
10833,953.7220624050912
10834,953.7220624050912
10835,953.7220624050912
10836,953.7220624050912
10837,953.7220624050912
10838,953.7220624050912
10839,953.7220624050912
10840,953.7220624050912
10841,953.7220624050912
10842,953.7220624050912
10843,953.7220624050912
10844,953.7220624050912
10845,953.7220624050912
10846,953.7220624050912
10847,953.7220624050912
10848,953.7220624050912
10849,953.7220624050912
10850,953.7220624050912
10851,953.7220624050912
10852,953.7220624050912
10853,953.7220624050912
10854,953.7220624050912
10855,953.7220624050912
10856,953.7220624050912
10857,953.7220624050912
10858,953.7220624050912
10859,953.7220624050912
10860,953.7220624050912
10861,953.7220624050912
10862,953.7220624050912
10863,953.7220624050912
10864,919.6424905216189
10865,919.6424905216189
10866,919.6424905216189
10867,919.6424905216189
10868,919.6424905216189
