,CPI CHNG Index_ratio
10865,972.4489795918364
10866,972.4489795918364
10867,972.4489795918364
10868,972.4489795918364
10869,972.4489795918364
10870,972.4489795918364
10871,972.4489795918364
10872,972.4489795918364
10873,972.4489795918364
10874,972.4489795918364
10875,972.4489795918364
10876,972.4489795918364
10877,972.4489795918364
10878,972.4489795918364
10879,972.4489795918364
10880,972.4489795918364
10881,972.4489795918364
10882,972.4489795918364
10883,972.4489795918364
10884,972.4489795918364
10885,972.4489795918364
10886,972.4489795918364
10887,972.4489795918364
10888,972.4489795918364
10889,972.4489795918364
10890,972.4489795918364
10891,972.4489795918364
10892,972.4489795918364
10893,972.4489795918364
10894,972.4489795918364
10895,972.4489795918364
10896,972.4489795918364
10897,972.4489795918364
10898,972.4489795918364
10899,972.4489795918364
10900,972.4489795918364
10901,972.4489795918364
10902,972.4489795918364
10903,972.4489795918364
10904,972.4489795918364
10905,972.4489795918364
10906,972.4489795918364
10907,972.4489795918364
10908,972.4489795918364
10909,972.4489795918364
10910,972.4489795918364
10911,972.4489795918364
10912,972.4489795918364
10913,972.4489795918364
10914,972.4489795918364
10915,972.4489795918364
10916,972.4489795918364
10917,972.4489795918364
10918,972.4489795918364
10919,972.4489795918364
10920,972.4489795918364
10921,972.4489795918364
10922,972.4489795918364
10923,972.4489795918364
10924,972.4489795918364
10925,972.4489795918364
10926,972.4489795918364
10927,972.4489795918364
10928,972.4489795918364
10929,972.4489795918364
10930,972.4489795918364
10931,972.4489795918364
10932,972.4489795918364
10933,972.4489795918364
10934,972.4489795918364
10935,972.4489795918364
10936,972.4489795918364
10937,972.4489795918364
10938,972.4489795918364
10939,972.4489795918364
10940,972.4489795918364
10941,972.4489795918364
10942,972.4489795918364
10943,972.4489795918364
10944,972.4489795918364
10945,972.4489795918364
10946,972.4489795918364
10947,972.4489795918364
10948,972.4489795918364
10949,972.4489795918364
10950,972.4489795918364
10951,972.4489795918364
10952,972.4489795918364
10953,972.4489795918364
10954,972.4489795918364
10955,972.4489795918364
10956,1254.9842602308504
10957,1254.9842602308504
10958,1254.9842602308504
10959,1254.9842602308504
10960,1254.9842602308504
10961,1254.9842602308504
10962,1254.9842602308504
10963,1254.9842602308504
10964,1254.9842602308504
10965,1254.9842602308504
10966,1254.9842602308504
10967,1254.9842602308504
10968,1254.9842602308504
10969,1254.9842602308504
10970,1254.9842602308504
10971,1254.9842602308504
10972,1254.9842602308504
10973,1254.9842602308504
10974,1254.9842602308504
10975,1254.9842602308504
10976,1254.9842602308504
10977,1254.9842602308504
10978,1254.9842602308504
10979,1254.9842602308504
10980,1254.9842602308504
10981,1254.9842602308504
10982,1254.9842602308504
10983,1254.9842602308504
10984,1254.9842602308504
10985,1254.9842602308504
10986,1254.9842602308504
10987,1254.9842602308504
10988,1254.9842602308504
10989,1254.9842602308504
10990,1254.9842602308504
10991,1254.9842602308504
10992,1254.9842602308504
10993,1254.9842602308504
10994,1254.9842602308504
10995,1254.9842602308504
10996,1254.9842602308504
10997,1254.9842602308504
10998,1254.9842602308504
10999,1254.9842602308504
11000,1254.9842602308504
11001,1254.9842602308504
11002,1254.9842602308504
11003,1254.9842602308504
11004,1254.9842602308504
11005,1254.9842602308504
11006,1254.9842602308504
11007,1254.9842602308504
11008,1254.9842602308504
11009,1254.9842602308504
11010,1254.9842602308504
11011,1254.9842602308504
11012,1254.9842602308504
11013,1254.9842602308504
11014,1254.9842602308504
11015,1254.9842602308504
11016,1254.9842602308504
11017,1254.9842602308504
11018,1254.9842602308504
11019,1254.9842602308504
11020,1254.9842602308504
11021,1254.9842602308504
11022,1254.9842602308504
11023,1254.9842602308504
11024,1254.9842602308504
11025,1254.9842602308504
11026,1254.9842602308504
11027,1254.9842602308504
11028,1254.9842602308504
11029,1254.9842602308504
11030,1254.9842602308504
11031,1254.9842602308504
11032,1254.9842602308504
11033,1254.9842602308504
11034,1254.9842602308504
11035,1254.9842602308504
11036,1254.9842602308504
11037,1254.9842602308504
11038,1254.9842602308504
11039,1254.9842602308504
11040,1254.9842602308504
11041,1254.9842602308504
11042,1254.9842602308504
11043,1254.9842602308504
11044,1254.9842602308504
11045,1254.9842602308504
11046,1254.9842602308504
11047,867.2865595942517
11048,867.2865595942517
11049,867.2865595942517
11050,867.2865595942517
11051,867.2865595942517
11052,867.2865595942517
11053,867.2865595942517
11054,867.2865595942517
11055,867.2865595942517
11056,867.2865595942517
11057,867.2865595942517
11058,867.2865595942517
11059,867.2865595942517
