,USDMXN Curncy_ratio
10713,1001.3393141405995
10714,1001.3393141405995
10715,1001.3393141405995
10716,1001.3393141405995
10717,1001.3393141405995
10718,1001.3393141405995
10719,1001.3393141405995
10720,1001.3393141405995
10721,1001.3393141405995
10722,1001.3393141405995
10723,1001.3393141405995
10724,1001.3393141405995
10725,1001.3393141405995
10726,1001.3393141405995
10727,1001.3393141405995
10728,1001.3393141405995
10729,1001.3393141405995
10730,1001.3393141405995
10731,1001.3393141405995
10732,1001.3393141405995
10733,1001.3393141405995
10734,1001.3393141405995
10735,1001.3393141405995
10736,1001.3393141405995
10737,1001.3393141405995
10738,1001.3393141405995
10739,1001.3393141405995
10740,1001.3393141405995
10741,1001.3393141405995
10742,1001.3393141405995
10743,1001.3393141405995
10744,1001.3393141405995
10745,1001.3393141405995
10746,1001.3393141405995
10747,1001.3393141405995
10748,1001.3393141405995
10749,1001.3393141405995
10750,1001.3393141405995
10751,1001.3393141405995
10752,1001.3393141405995
10753,1001.3393141405995
10754,1001.3393141405995
10755,1001.3393141405995
10756,1001.3393141405995
10757,1001.3393141405995
10758,1001.3393141405995
10759,1001.3393141405995
10760,1001.3393141405995
10761,1001.3393141405995
10762,1001.3393141405995
10763,1001.3393141405995
10764,1001.3393141405995
10765,1001.3393141405995
10766,1001.3393141405995
10767,1001.3393141405995
10768,1001.3393141405995
10769,1001.3393141405995
10770,1001.3393141405995
10771,1001.3393141405995
10772,998.882357984188
10773,998.882357984188
10774,998.882357984188
10775,998.882357984188
10776,998.882357984188
10777,998.882357984188
10778,998.882357984188
10779,998.882357984188
10780,998.882357984188
10781,998.882357984188
10782,998.882357984188
10783,998.882357984188
10784,998.882357984188
10785,998.882357984188
10786,998.882357984188
10787,998.882357984188
10788,998.882357984188
10789,998.882357984188
10790,998.882357984188
10791,998.882357984188
10792,998.882357984188
10793,998.882357984188
10794,998.882357984188
10795,998.882357984188
10796,998.882357984188
10797,998.882357984188
10798,998.882357984188
10799,998.882357984188
10800,998.882357984188
10801,998.882357984188
10802,998.882357984188
10803,998.882357984188
10804,998.882357984188
10805,998.882357984188
10806,998.882357984188
10807,998.882357984188
10808,998.882357984188
10809,998.882357984188
10810,998.882357984188
10811,998.882357984188
10812,998.882357984188
10813,998.882357984188
10814,998.882357984188
10815,998.882357984188
10816,998.882357984188
10817,998.882357984188
10818,998.882357984188
10819,998.882357984188
10820,998.882357984188
10821,998.882357984188
10822,998.882357984188
10823,998.882357984188
10824,998.882357984188
10825,998.882357984188
10826,998.882357984188
10827,998.882357984188
10828,998.882357984188
10829,998.882357984188
10830,998.882357984188
10831,998.882357984188
10832,998.882357984188
10833,998.882357984188
10834,998.882357984188
10835,998.882357984188
10836,998.882357984188
10837,998.882357984188
10838,998.882357984188
10839,998.882357984188
10840,998.882357984188
10841,998.882357984188
10842,998.882357984188
10843,998.882357984188
10844,998.882357984188
10845,998.882357984188
10846,998.882357984188
10847,998.882357984188
10848,998.882357984188
10849,998.882357984188
10850,998.882357984188
10851,998.882357984188
10852,998.882357984188
10853,998.882357984188
10854,998.882357984188
10855,998.882357984188
10856,998.882357984188
10857,998.882357984188
10858,998.882357984188
10859,998.882357984188
10860,998.882357984188
10861,998.882357984188
10862,998.882357984188
10863,998.882357984188
10864,1001.4763310791503
10865,1001.4763310791503
10866,1001.4763310791503
10867,1001.4763310791503
10868,1001.4763310791503
10869,1001.4763310791503
10870,1001.4763310791503
10871,1001.4763310791503
10872,1001.4763310791503
10873,1001.4763310791503
10874,1001.4763310791503
10875,1001.4763310791503
10876,1001.4763310791503
10877,1001.4763310791503
10878,1001.4763310791503
10879,1001.4763310791503
10880,1001.4763310791503
10881,1001.4763310791503
10882,1001.4763310791503
10883,1001.4763310791503
10884,1001.4763310791503
10885,1001.4763310791503
10886,1001.4763310791503
10887,1001.4763310791503
10888,1001.4763310791503
10889,1001.4763310791503
10890,1001.4763310791503
10891,1001.4763310791503
10892,1001.4763310791503
10893,1001.4763310791503
10894,1001.4763310791503
10895,1001.4763310791503
10896,1001.4763310791503
10897,1001.4763310791503
10898,1001.4763310791503
10899,1001.4763310791503
10900,1001.4763310791503
10901,1001.4763310791503
10902,1001.4763310791503
10903,1001.4763310791503
10904,1001.4763310791503
10905,1001.4763310791503
10906,1001.4763310791503
10907,1001.4763310791503
10908,1001.4763310791503
10909,1001.4763310791503
10910,1001.4763310791503
10911,1001.4763310791503
10912,1001.4763310791503
10913,1001.4763310791503
10914,1001.4763310791503
10915,1001.4763310791503
10916,1001.4763310791503
10917,1001.4763310791503
10918,1001.4763310791503
10919,1001.4763310791503
10920,1001.4763310791503
10921,1001.4763310791503
10922,1001.4763310791503
10923,1001.4763310791503
10924,1001.4763310791503
10925,1001.4763310791503
10926,1001.4763310791503
10927,1001.4763310791503
10928,1001.4763310791503
10929,1001.4763310791503
10930,1001.4763310791503
10931,1001.4763310791503
10932,1001.4763310791503
10933,1001.4763310791503
10934,1001.4763310791503
10935,1001.4763310791503
10936,1001.4763310791503
10937,1001.4763310791503
10938,1001.4763310791503
10939,1001.4763310791503
10940,1001.4763310791503
10941,1001.4763310791503
10942,1001.4763310791503
10943,1001.4763310791503
10944,1001.4763310791503
10945,1001.4763310791503
10946,1001.4763310791503
10947,1001.4763310791503
10948,1001.4763310791503
10949,1001.4763310791503
10950,1001.4763310791503
10951,1001.4763310791503
10952,1001.4763310791503
10953,1001.4763310791503
10954,1001.4763310791503
10955,1001.4763310791503
10956,999.6911643209612
10957,999.6911643209612
10958,999.6911643209612
10959,999.6911643209612
10960,999.6911643209612
10961,999.6911643209612
10962,999.6911643209612
10963,999.6911643209612
10964,999.6911643209612
10965,999.6911643209612
10966,999.6911643209612
10967,999.6911643209612
10968,999.6911643209612
10969,999.6911643209612
10970,999.6911643209612
10971,999.6911643209612
10972,999.6911643209612
10973,999.6911643209612
10974,999.6911643209612
10975,999.6911643209612
10976,999.6911643209612
10977,999.6911643209612
10978,999.6911643209612
10979,999.6911643209612
10980,999.6911643209612
10981,999.6911643209612
10982,999.6911643209612
10983,999.6911643209612
10984,999.6911643209612
10985,999.6911643209612
10986,999.6911643209612
10987,999.6911643209612
10988,999.6911643209612
10989,999.6911643209612
10990,999.6911643209612
10991,999.6911643209612
10992,999.6911643209612
10993,999.6911643209612
10994,999.6911643209612
10995,999.6911643209612
10996,999.6911643209612
10997,999.6911643209612
10998,999.6911643209612
10999,999.6911643209612
11000,999.6911643209612
11001,999.6911643209612
11002,999.6911643209612
11003,999.6911643209612
11004,999.6911643209612
11005,999.6911643209612
11006,999.6911643209612
11007,999.6911643209612
11008,999.6911643209612
11009,999.6911643209612
11010,999.6911643209612
11011,999.6911643209612
11012,999.6911643209612
11013,999.6911643209612
11014,999.6911643209612
11015,999.6911643209612
11016,999.6911643209612
11017,999.6911643209612
11018,999.6911643209612
11019,999.6911643209612
11020,999.6911643209612
11021,999.6911643209612
11022,999.6911643209612
11023,999.6911643209612
11024,999.6911643209612
11025,999.6911643209612
11026,999.6911643209612
11027,999.6911643209612
11028,999.6911643209612
11029,999.6911643209612
11030,999.6911643209612
11031,999.6911643209612
11032,999.6911643209612
11033,999.6911643209612
11034,999.6911643209612
11035,999.6911643209612
11036,999.6911643209612
11037,999.6911643209612
11038,999.6911643209612
11039,999.6911643209612
11040,999.6911643209612
11041,999.6911643209612
11042,999.6911643209612
11043,999.6911643209612
11044,999.6911643209612
11045,999.6911643209612
11046,999.6911643209612
11047,1000.9618159084355
11048,1000.9618159084355
11049,1000.9618159084355
11050,1000.9618159084355
11051,1000.9618159084355
11052,1000.9618159084355
11053,1000.9618159084355
11054,1000.9618159084355
11055,1000.9618159084355
11056,1000.9618159084355
11057,1000.9618159084355
11058,1000.9618159084355
11059,1000.9618159084355
11060,1000.9618159084355
11061,1000.9618159084355
11062,1000.9618159084355
11063,1000.9618159084355
11064,1000.9618159084355
11065,1000.9618159084355
11066,1000.9618159084355
11067,1000.9618159084355
11068,1000.9618159084355
11069,1000.9618159084355
11070,1000.9618159084355
11071,1000.9618159084355
11072,1000.9618159084355
11073,1000.9618159084355
11074,1000.9618159084355
11075,1000.9618159084355
11076,1000.9618159084355
11077,1000.9618159084355
11078,1000.9618159084355
11079,1000.9618159084355
11080,1000.9618159084355
11081,1000.9618159084355
11082,1000.9618159084355
11083,1000.9618159084355
11084,1000.9618159084355
11085,1000.9618159084355
11086,1000.9618159084355
11087,1000.9618159084355
11088,1000.9618159084355
11089,1000.9618159084355
11090,1000.9618159084355
11091,1000.9618159084355
11092,1000.9618159084355
11093,1000.9618159084355
11094,1000.9618159084355
11095,1000.9618159084355
11096,1000.9618159084355
11097,1000.9618159084355
11098,1000.9618159084355
11099,1000.9618159084355
11100,1000.9618159084355
11101,1000.9618159084355
11102,1000.9618159084355
11103,1000.9618159084355
11104,1000.9618159084355
11105,1000.9618159084355
11106,1000.9618159084355
11107,1000.9618159084355
11108,1000.9618159084355
11109,1000.9618159084355
11110,1000.9618159084355
11111,1000.9618159084355
11112,1000.9618159084355
11113,1000.9618159084355
11114,1000.9618159084355
11115,1000.9618159084355
11116,1000.9618159084355
11117,1000.9618159084355
11118,1000.9618159084355
11119,1000.9618159084355
11120,1000.9618159084355
11121,1000.9618159084355
11122,1000.9618159084355
11123,1000.9618159084355
11124,1000.9618159084355
11125,1000.9618159084355
11126,1000.9618159084355
11127,1000.9618159084355
11128,1000.9618159084355
