,CHPMINDX Index_ratio
10477,1022.5186538587777
10478,1022.5186538587777
10479,1022.5186538587777
10480,1022.5186538587777
10481,1022.5186538587777
10482,1022.5186538587777
10483,1022.5186538587777
10484,1022.5186538587777
10485,1022.5186538587777
10486,1022.5186538587777
10487,1022.5186538587777
10488,1022.5186538587777
10489,1022.5186538587777
10490,1022.5186538587777
10491,1022.5186538587777
10492,1022.5186538587777
10493,1022.5186538587777
10494,1022.5186538587777
10495,1022.5186538587777
10496,1022.5186538587777
10497,1022.5186538587777
10498,1022.5186538587777
10499,1045.24115867441
10500,1045.24115867441
10501,1045.24115867441
10502,1045.24115867441
10503,1045.24115867441
10504,1045.24115867441
10505,1045.24115867441
10506,1045.24115867441
10507,1045.24115867441
10508,1045.24115867441
10509,1045.24115867441
10510,1045.24115867441
10511,1045.24115867441
10512,1045.24115867441
10513,1045.24115867441
10514,1045.24115867441
10515,1045.24115867441
10516,1045.24115867441
10517,1045.24115867441
10518,1045.24115867441
10519,1045.24115867441
10520,1045.24115867441
10521,1045.24115867441
10522,1045.24115867441
10523,1045.24115867441
10524,1045.24115867441
10525,1045.24115867441
10526,1045.24115867441
10527,1045.24115867441
10528,1045.24115867441
10529,1045.24115867441
10530,1045.24115867441
10531,1045.24115867441
10532,1045.24115867441
10533,1045.24115867441
10534,1045.24115867441
10535,1045.24115867441
10536,1045.24115867441
10537,1045.24115867441
10538,1045.24115867441
10539,1045.24115867441
10540,1045.24115867441
10541,1045.24115867441
10542,1045.24115867441
10543,1045.24115867441
10544,1045.24115867441
10545,1045.24115867441
10546,1045.24115867441
10547,1045.24115867441
10548,1045.24115867441
10549,1045.24115867441
10550,1045.24115867441
10551,1045.24115867441
10552,1045.24115867441
10553,1045.24115867441
10554,1045.24115867441
10555,1045.24115867441
10556,1045.24115867441
10557,1045.24115867441
10558,1045.24115867441
10559,1045.24115867441
10560,1045.24115867441
10561,1045.24115867441
10562,1045.24115867441
10563,1045.24115867441
