,NHSLTOT Index_ratio
10755,992.2899732737905
10756,992.2899732737905
10757,992.2899732737905
10758,992.2899732737905
10759,992.2899732737905
10760,992.2899732737905
10761,992.2899732737905
10762,992.2899732737905
10763,992.2899732737905
10764,992.2899732737905
10765,992.2899732737905
10766,992.2899732737905
10767,992.2899732737905
10768,992.2899732737905
10769,992.2899732737905
10770,992.2899732737905
10771,992.2899732737905
10772,946.8985465051884
10773,946.8985465051884
10774,946.8985465051884
10775,946.8985465051884
10776,946.8985465051884
10777,946.8985465051884
10778,946.8985465051884
10779,946.8985465051884
10780,946.8985465051884
10781,946.8985465051884
10782,946.8985465051884
10783,946.8985465051884
10784,946.8985465051884
10785,946.8985465051884
10786,946.8985465051884
10787,946.8985465051884
10788,946.8985465051884
10789,946.8985465051884
10790,946.8985465051884
10791,946.8985465051884
10792,946.8985465051884
10793,946.8985465051884
10794,946.8985465051884
10795,946.8985465051884
10796,946.8985465051884
10797,946.8985465051884
10798,946.8985465051884
10799,946.8985465051884
10800,946.8985465051884
10801,946.8985465051884
10802,946.8985465051884
10803,946.8985465051884
10804,946.8985465051884
10805,946.8985465051884
10806,946.8985465051884
10807,946.8985465051884
10808,946.8985465051884
10809,946.8985465051884
10810,946.8985465051884
10811,946.8985465051884
10812,946.8985465051884
10813,946.8985465051884
10814,946.8985465051884
10815,946.8985465051884
10816,946.8985465051884
10817,946.8985465051884
10818,946.8985465051884
10819,946.8985465051884
10820,946.8985465051884
10821,946.8985465051884
10822,946.8985465051884
10823,946.8985465051884
10824,946.8985465051884
10825,946.8985465051884
10826,946.8985465051884
10827,946.8985465051884
10828,946.8985465051884
10829,946.8985465051884
10830,946.8985465051884
10831,946.8985465051884
10832,946.8985465051884
10833,946.8985465051884
10834,946.8985465051884
10835,946.8985465051884
10836,946.8985465051884
10837,946.8985465051884
10838,946.8985465051884
10839,946.8985465051884
10840,946.8985465051884
10841,946.8985465051884
10842,946.8985465051884
10843,946.8985465051884
10844,946.8985465051884
10845,946.8985465051884
10846,946.8985465051884
10847,946.8985465051884
10848,946.8985465051884
10849,946.8985465051884
10850,946.8985465051884
10851,946.8985465051884
10852,946.8985465051884
10853,946.8985465051884
10854,946.8985465051884
10855,946.8985465051884
10856,946.8985465051884
10857,946.8985465051884
10858,946.8985465051884
10859,946.8985465051884
10860,946.8985465051884
10861,946.8985465051884
10862,946.8985465051884
10863,946.8985465051884
10864,927.2224080776131
10865,927.2224080776131
10866,927.2224080776131
10867,927.2224080776131
10868,927.2224080776131
10869,927.2224080776131
10870,927.2224080776131
10871,927.2224080776131
10872,927.2224080776131
10873,927.2224080776131
10874,927.2224080776131
10875,927.2224080776131
10876,927.2224080776131
10877,927.2224080776131
10878,927.2224080776131
10879,927.2224080776131
10880,927.2224080776131
10881,927.2224080776131
10882,927.2224080776131
10883,927.2224080776131
10884,927.2224080776131
10885,927.2224080776131
10886,927.2224080776131
10887,927.2224080776131
10888,927.2224080776131
10889,927.2224080776131
10890,927.2224080776131
10891,927.2224080776131
10892,927.2224080776131
10893,927.2224080776131
