,PCE DEFM Index_ratio
10728,1651.5900602344611
10729,1651.5900602344611
10730,1651.5900602344611
10731,1651.5900602344611
10732,1651.5900602344611
10733,1651.5900602344611
10734,1651.5900602344611
10735,1651.5900602344611
10736,1651.5900602344611
10737,1651.5900602344611
10738,1651.5900602344611
10739,1651.5900602344611
10740,1651.5900602344611
10741,1651.5900602344611
10742,1651.5900602344611
10743,1651.5900602344611
10744,1651.5900602344611
10745,1651.5900602344611
10746,1651.5900602344611
10747,1651.5900602344611
10748,1651.5900602344611
10749,1651.5900602344611
10750,1651.5900602344611
10751,1651.5900602344611
10752,1651.5900602344611
10753,1651.5900602344611
10754,1651.5900602344611
10755,1651.5900602344611
10756,1651.5900602344611
10757,1651.5900602344611
10758,1651.5900602344611
10759,1651.5900602344611
10760,1651.5900602344611
10761,1651.5900602344611
10762,1651.5900602344611
10763,1651.5900602344611
10764,1651.5900602344611
10765,1651.5900602344611
10766,1651.5900602344611
10767,1651.5900602344611
10768,1651.5900602344611
10769,1651.5900602344611
10770,1651.5900602344611
10771,1651.5900602344611
10772,857.6342710997441
10773,857.6342710997441
10774,857.6342710997441
10775,857.6342710997441
10776,857.6342710997441
10777,857.6342710997441
10778,857.6342710997441
10779,857.6342710997441
10780,857.6342710997441
10781,857.6342710997441
10782,857.6342710997441
10783,857.6342710997441
10784,857.6342710997441
10785,857.6342710997441
10786,857.6342710997441
10787,857.6342710997441
10788,857.6342710997441
10789,857.6342710997441
10790,857.6342710997441
10791,857.6342710997441
10792,857.6342710997441
10793,857.6342710997441
10794,857.6342710997441
10795,857.6342710997441
10796,857.6342710997441
10797,857.6342710997441
10798,857.6342710997441
10799,857.6342710997441
10800,857.6342710997441
10801,857.6342710997441
10802,857.6342710997441
10803,857.6342710997441
10804,857.6342710997441
10805,857.6342710997441
10806,857.6342710997441
10807,857.6342710997441
10808,857.6342710997441
10809,857.6342710997441
10810,857.6342710997441
10811,857.6342710997441
10812,857.6342710997441
10813,857.6342710997441
10814,857.6342710997441
10815,857.6342710997441
10816,857.6342710997441
10817,857.6342710997441
10818,857.6342710997441
10819,857.6342710997441
10820,857.6342710997441
10821,857.6342710997441
10822,857.6342710997441
10823,857.6342710997441
10824,857.6342710997441
10825,857.6342710997441
10826,857.6342710997441
10827,857.6342710997441
10828,857.6342710997441
10829,857.6342710997441
10830,857.6342710997441
10831,857.6342710997441
10832,857.6342710997441
10833,857.6342710997441
10834,857.6342710997441
10835,857.6342710997441
10836,857.6342710997441
10837,857.6342710997441
10838,857.6342710997441
10839,857.6342710997441
10840,857.6342710997441
10841,857.6342710997441
10842,857.6342710997441
10843,857.6342710997441
10844,857.6342710997441
10845,857.6342710997441
10846,857.6342710997441
10847,857.6342710997441
10848,857.6342710997441
10849,857.6342710997441
10850,857.6342710997441
10851,857.6342710997441
10852,857.6342710997441
10853,857.6342710997441
10854,857.6342710997441
10855,857.6342710997441
10856,857.6342710997441
10857,857.6342710997441
10858,857.6342710997441
10859,857.6342710997441
10860,857.6342710997441
10861,857.6342710997441
10862,857.6342710997441
10863,857.6342710997441
10864,997.2862957937587
10865,997.2862957937587
10866,997.2862957937587
10867,997.2862957937587
10868,997.2862957937587
10869,997.2862957937587
10870,997.2862957937587
10871,997.2862957937587
10872,997.2862957937587
10873,997.2862957937587
10874,997.2862957937587
10875,997.2862957937587
10876,997.2862957937587
10877,997.2862957937587
10878,997.2862957937587
10879,997.2862957937587
10880,997.2862957937587
10881,997.2862957937587
10882,997.2862957937587
10883,997.2862957937587
10884,997.2862957937587
10885,997.2862957937587
10886,997.2862957937587
10887,997.2862957937587
10888,997.2862957937587
10889,997.2862957937587
10890,997.2862957937587
10891,997.2862957937587
10892,997.2862957937587
10893,997.2862957937587
10894,997.2862957937587
10895,997.2862957937587
10896,997.2862957937587
10897,997.2862957937587
10898,997.2862957937587
10899,997.2862957937587
10900,997.2862957937587
10901,997.2862957937587
