,OUTFGAF Index_ratio
10872,2035.113386978786
10873,2035.113386978786
10874,2035.113386978786
10875,2035.113386978786
10876,2035.113386978786
10877,2035.113386978786
10878,2035.113386978786
10879,2035.113386978786
10880,2035.113386978786
10881,2035.113386978786
10882,2035.113386978786
10883,2035.113386978786
10884,2035.113386978786
10885,2035.113386978786
10886,2035.113386978786
10887,2035.113386978786
10888,2035.113386978786
10889,2035.113386978786
10890,2035.113386978786
10891,2035.113386978786
10892,2035.113386978786
10893,2035.113386978786
10894,2035.113386978786
10895,2035.113386978786
10896,2035.113386978786
10897,2035.113386978786
10898,2035.113386978786
10899,2035.113386978786
10900,2035.113386978786
10901,2035.113386978786
10902,2035.113386978786
10903,2035.113386978786
10904,2035.113386978786
10905,2035.113386978786
10906,2035.113386978786
10907,2035.113386978786
10908,2035.113386978786
10909,2035.113386978786
10910,2035.113386978786
10911,2035.113386978786
10912,2035.113386978786
10913,2035.113386978786
10914,2035.113386978786
10915,2035.113386978786
10916,2035.113386978786
10917,2035.113386978786
10918,2035.113386978786
10919,2035.113386978786
10920,2035.113386978786
10921,2035.113386978786
10922,2035.113386978786
10923,2035.113386978786
10924,2035.113386978786
10925,2035.113386978786
10926,2035.113386978786
10927,2035.113386978786
10928,2035.113386978786
10929,2035.113386978786
10930,2035.113386978786
10931,2035.113386978786
10932,2035.113386978786
10933,2035.113386978786
10934,2035.113386978786
10935,2035.113386978786
10936,2035.113386978786
10937,2035.113386978786
10938,2035.113386978786
10939,2035.113386978786
10940,2035.113386978786
10941,2035.113386978786
10942,2035.113386978786
10943,2035.113386978786
10944,2035.113386978786
10945,2035.113386978786
10946,2035.113386978786
10947,2035.113386978786
10948,2035.113386978786
10949,2035.113386978786
10950,2035.113386978786
10951,2035.113386978786
10952,2035.113386978786
10953,2035.113386978786
10954,2035.113386978786
10955,2035.113386978786
10956,759.2411183352954
10957,759.2411183352954
10958,759.2411183352954
10959,759.2411183352954
10960,759.2411183352954
10961,759.2411183352954
10962,759.2411183352954
10963,759.2411183352954
10964,759.2411183352954
10965,759.2411183352954
10966,759.2411183352954
10967,759.2411183352954
10968,759.2411183352954
10969,759.2411183352954
10970,759.2411183352954
10971,759.2411183352954
10972,759.2411183352954
10973,759.2411183352954
10974,759.2411183352954
10975,759.2411183352954
10976,759.2411183352954
10977,759.2411183352954
10978,759.2411183352954
10979,759.2411183352954
10980,759.2411183352954
10981,759.2411183352954
10982,759.2411183352954
10983,759.2411183352954
10984,759.2411183352954
10985,759.2411183352954
10986,759.2411183352954
10987,759.2411183352954
10988,759.2411183352954
10989,759.2411183352954
10990,759.2411183352954
10991,759.2411183352954
10992,759.2411183352954
10993,759.2411183352954
10994,759.2411183352954
10995,759.2411183352954
10996,759.2411183352954
10997,759.2411183352954
10998,759.2411183352954
10999,759.2411183352954
11000,759.2411183352954
11001,759.2411183352954
11002,759.2411183352954
11003,759.2411183352954
11004,759.2411183352954
11005,759.2411183352954
11006,759.2411183352954
11007,759.2411183352954
11008,759.2411183352954
11009,759.2411183352954
11010,759.2411183352954
11011,759.2411183352954
11012,759.2411183352954
11013,759.2411183352954
11014,759.2411183352954
11015,759.2411183352954
11016,759.2411183352954
11017,759.2411183352954
11018,759.2411183352954
11019,759.2411183352954
11020,759.2411183352954
11021,759.2411183352954
11022,759.2411183352954
11023,759.2411183352954
11024,759.2411183352954
11025,759.2411183352954
11026,759.2411183352954
11027,759.2411183352954
11028,759.2411183352954
11029,759.2411183352954
11030,759.2411183352954
11031,759.2411183352954
11032,759.2411183352954
11033,759.2411183352954
11034,759.2411183352954
11035,759.2411183352954
11036,759.2411183352954
11037,759.2411183352954
11038,759.2411183352954
11039,759.2411183352954
11040,759.2411183352954
11041,759.2411183352954
11042,759.2411183352954
11043,759.2411183352954
11044,759.2411183352954
11045,759.2411183352954
11046,759.2411183352954
11047,2001.8547325595305
11048,2001.8547325595305
11049,2001.8547325595305
11050,2001.8547325595305
11051,2001.8547325595305
11052,2001.8547325595305
11053,2001.8547325595305
11054,2001.8547325595305
11055,2001.8547325595305
11056,2001.8547325595305
11057,2001.8547325595305
11058,2001.8547325595305
11059,2001.8547325595305
11060,2001.8547325595305
11061,2001.8547325595305
11062,2001.8547325595305
11063,2001.8547325595305
11064,2001.8547325595305
11065,2001.8547325595305
11066,2001.8547325595305
11067,2001.8547325595305
11068,2001.8547325595305
11069,2001.8547325595305
11070,2001.8547325595305
11071,2001.8547325595305
11072,2001.8547325595305
11073,2001.8547325595305
11074,2001.8547325595305
11075,2001.8547325595305
11076,2001.8547325595305
11077,2001.8547325595305
11078,2001.8547325595305
11079,2001.8547325595305
11080,2001.8547325595305
11081,2001.8547325595305
11082,2001.8547325595305
11083,2001.8547325595305
11084,2001.8547325595305
11085,2001.8547325595305
11086,2001.8547325595305
11087,2001.8547325595305
11088,2001.8547325595305
11089,2001.8547325595305
11090,2001.8547325595305
11091,2001.8547325595305
11092,2001.8547325595305
11093,2001.8547325595305
11094,2001.8547325595305
11095,2001.8547325595305
11096,2001.8547325595305
11097,2001.8547325595305
11098,2001.8547325595305
11099,2001.8547325595305
11100,2001.8547325595305
11101,2001.8547325595305
11102,2001.8547325595305
11103,2001.8547325595305
11104,2001.8547325595305
11105,2001.8547325595305
11106,2001.8547325595305
11107,2001.8547325595305
11108,2001.8547325595305
11109,2001.8547325595305
11110,2001.8547325595305
11111,2001.8547325595305
11112,2001.8547325595305
11113,2001.8547325595305
11114,2001.8547325595305
11115,2001.8547325595305
11116,2001.8547325595305
11117,2001.8547325595305
11118,2001.8547325595305
11119,2001.8547325595305
11120,2001.8547325595305
11121,2001.8547325595305
11122,2001.8547325595305
11123,2001.8547325595305
11124,2001.8547325595305
11125,2001.8547325595305
11126,2001.8547325595305
11127,2001.8547325595305
11128,2001.8547325595305
11129,2001.8547325595305
11130,2001.8547325595305
11131,2001.8547325595305
11132,2001.8547325595305
11133,2001.8547325595305
11134,2001.8547325595305
11135,2001.8547325595305
11136,2001.8547325595305
11137,2001.8547325595305
11138,1361.7652753467253
11139,1361.7652753467253
11140,1361.7652753467253
11141,1361.7652753467253
11142,1361.7652753467253
11143,1361.7652753467253
11144,1361.7652753467253
11145,1361.7652753467253
11146,1361.7652753467253
11147,1361.7652753467253
11148,1361.7652753467253
11149,1361.7652753467253
11150,1361.7652753467253
11151,1361.7652753467253
11152,1361.7652753467253
11153,1361.7652753467253
11154,1361.7652753467253
11155,1361.7652753467253
11156,1361.7652753467253
11157,1361.7652753467253
11158,1361.7652753467253
11159,1361.7652753467253
11160,1361.7652753467253
11161,1361.7652753467253
11162,1361.7652753467253
11163,1361.7652753467253
11164,1361.7652753467253
11165,1361.7652753467253
11166,1361.7652753467253
11167,1361.7652753467253
11168,1361.7652753467253
11169,1361.7652753467253
11170,1361.7652753467253
11171,1361.7652753467253
11172,1361.7652753467253
11173,1361.7652753467253
11174,1361.7652753467253
11175,1361.7652753467253
11176,1361.7652753467253
11177,1361.7652753467253
11178,1361.7652753467253
11179,1361.7652753467253
11180,1361.7652753467253
11181,1361.7652753467253
11182,1361.7652753467253
11183,1361.7652753467253
11184,1361.7652753467253
11185,1361.7652753467253
11186,1361.7652753467253
11187,1361.7652753467253
11188,1361.7652753467253
11189,1361.7652753467253
11190,1361.7652753467253
11191,1361.7652753467253
11192,1361.7652753467253
11193,1361.7652753467253
11194,1361.7652753467253
11195,1361.7652753467253
11196,1361.7652753467253
11197,1361.7652753467253
11198,1361.7652753467253
11199,1361.7652753467253
11200,1361.7652753467253
11201,1361.7652753467253
11202,1361.7652753467253
11203,1361.7652753467253
11204,1361.7652753467253
11205,1361.7652753467253
11206,1361.7652753467253
11207,1361.7652753467253
11208,1361.7652753467253
11209,1361.7652753467253
11210,1361.7652753467253
11211,1361.7652753467253
11212,1361.7652753467253
11213,1361.7652753467253
11214,1361.7652753467253
11215,1361.7652753467253
11216,1361.7652753467253
11217,1361.7652753467253
11218,1361.7652753467253
11219,1361.7652753467253
11220,1361.7652753467253
11221,1361.7652753467253
11222,1361.7652753467253
11223,1361.7652753467253
11224,1361.7652753467253
11225,1361.7652753467253
11226,1361.7652753467253
11227,1361.7652753467253
11228,1361.7652753467253
11229,1361.7652753467253
11230,-155.95692948940606
11231,-155.95692948940606
11232,-155.95692948940606
11233,-155.95692948940606
11234,-155.95692948940606
11235,-155.95692948940606
11236,-155.95692948940606
11237,-155.95692948940606
11238,-155.95692948940606
11239,-155.95692948940606
11240,-155.95692948940606
11241,-155.95692948940606
11242,-155.95692948940606
11243,-155.95692948940606
11244,-155.95692948940606
11245,-155.95692948940606
11246,-155.95692948940606
11247,-155.95692948940606
11248,-155.95692948940606
