,PCE CRCH Index_ratio
10887,704.787234042553
10888,704.787234042553
10889,704.787234042553
10890,704.787234042553
10891,704.787234042553
10892,704.787234042553
10893,704.787234042553
10894,704.787234042553
10895,704.787234042553
10896,704.787234042553
10897,704.787234042553
10898,704.787234042553
10899,704.787234042553
10900,704.787234042553
10901,704.787234042553
10902,704.787234042553
10903,704.787234042553
10904,704.787234042553
10905,704.787234042553
10906,704.787234042553
10907,704.787234042553
10908,704.787234042553
10909,704.787234042553
10910,704.787234042553
10911,704.787234042553
10912,704.787234042553
10913,704.787234042553
10914,704.787234042553
10915,704.787234042553
10916,704.787234042553
10917,704.787234042553
10918,704.787234042553
10919,704.787234042553
10920,704.787234042553
10921,704.787234042553
10922,704.787234042553
10923,704.787234042553
10924,704.787234042553
10925,704.787234042553
10926,704.787234042553
10927,704.787234042553
10928,704.787234042553
10929,704.787234042553
10930,704.787234042553
10931,704.787234042553
10932,704.787234042553
10933,704.787234042553
10934,704.787234042553
10935,704.787234042553
10936,704.787234042553
10937,704.787234042553
10938,704.787234042553
10939,704.787234042553
10940,704.787234042553
10941,704.787234042553
10942,704.787234042553
10943,704.787234042553
10944,704.787234042553
10945,704.787234042553
10946,704.787234042553
10947,704.787234042553
10948,704.787234042553
10949,704.787234042553
10950,704.787234042553
10951,704.787234042553
10952,704.787234042553
10953,704.787234042553
10954,704.787234042553
10955,704.787234042553
10956,938.5030064275348
10957,938.5030064275348
10958,938.5030064275348
10959,938.5030064275348
10960,938.5030064275348
10961,938.5030064275348
10962,938.5030064275348
10963,938.5030064275348
10964,938.5030064275348
10965,938.5030064275348
10966,938.5030064275348
10967,938.5030064275348
10968,938.5030064275348
10969,938.5030064275348
10970,938.5030064275348
10971,938.5030064275348
10972,938.5030064275348
10973,938.5030064275348
10974,938.5030064275348
10975,938.5030064275348
10976,938.5030064275348
10977,938.5030064275348
10978,938.5030064275348
10979,938.5030064275348
10980,938.5030064275348
10981,938.5030064275348
10982,938.5030064275348
10983,938.5030064275348
10984,938.5030064275348
10985,938.5030064275348
10986,938.5030064275348
10987,938.5030064275348
10988,938.5030064275348
10989,938.5030064275348
10990,938.5030064275348
10991,938.5030064275348
10992,938.5030064275348
10993,938.5030064275348
10994,938.5030064275348
10995,938.5030064275348
10996,938.5030064275348
10997,938.5030064275348
10998,938.5030064275348
10999,938.5030064275348
11000,938.5030064275348
11001,938.5030064275348
11002,938.5030064275348
11003,938.5030064275348
11004,938.5030064275348
11005,938.5030064275348
11006,938.5030064275348
11007,938.5030064275348
11008,938.5030064275348
11009,938.5030064275348
11010,938.5030064275348
11011,938.5030064275348
11012,938.5030064275348
11013,938.5030064275348
11014,938.5030064275348
11015,938.5030064275348
11016,938.5030064275348
11017,938.5030064275348
11018,938.5030064275348
11019,938.5030064275348
11020,938.5030064275348
11021,938.5030064275348
11022,938.5030064275348
11023,938.5030064275348
11024,938.5030064275348
11025,938.5030064275348
11026,938.5030064275348
11027,938.5030064275348
11028,938.5030064275348
11029,938.5030064275348
11030,938.5030064275348
11031,938.5030064275348
11032,938.5030064275348
11033,938.5030064275348
11034,938.5030064275348
11035,938.5030064275348
11036,938.5030064275348
11037,938.5030064275348
11038,938.5030064275348
11039,938.5030064275348
11040,938.5030064275348
11041,938.5030064275348
11042,938.5030064275348
11043,938.5030064275348
11044,938.5030064275348
11045,938.5030064275348
11046,938.5030064275348
11047,-42.005420054200535
11048,-42.005420054200535
11049,-42.005420054200535
11050,-42.005420054200535
11051,-42.005420054200535
11052,-42.005420054200535
11053,-42.005420054200535
11054,-42.005420054200535
11055,-42.005420054200535
11056,-42.005420054200535
11057,-42.005420054200535
11058,-42.005420054200535
11059,-42.005420054200535
11060,-42.005420054200535
11061,-42.005420054200535
11062,-42.005420054200535
11063,-42.005420054200535
11064,-42.005420054200535
11065,-42.005420054200535
11066,-42.005420054200535
11067,-42.005420054200535
11068,-42.005420054200535
11069,-42.005420054200535
11070,-42.005420054200535
11071,-42.005420054200535
11072,-42.005420054200535
11073,-42.005420054200535
11074,-42.005420054200535
11075,-42.005420054200535
11076,-42.005420054200535
11077,-42.005420054200535
11078,-42.005420054200535
11079,-42.005420054200535
11080,-42.005420054200535
11081,-42.005420054200535
11082,-42.005420054200535
11083,-42.005420054200535
11084,-42.005420054200535
11085,-42.005420054200535
11086,-42.005420054200535
11087,-42.005420054200535
11088,-42.005420054200535
11089,-42.005420054200535
11090,-42.005420054200535
11091,-42.005420054200535
11092,-42.005420054200535
11093,-42.005420054200535
11094,-42.005420054200535
11095,-42.005420054200535
11096,-42.005420054200535
11097,-42.005420054200535
11098,-42.005420054200535
11099,-42.005420054200535
11100,-42.005420054200535
11101,-42.005420054200535
11102,-42.005420054200535
11103,-42.005420054200535
11104,-42.005420054200535
11105,-42.005420054200535
11106,-42.005420054200535
11107,-42.005420054200535
11108,-42.005420054200535
11109,-42.005420054200535
11110,-42.005420054200535
11111,-42.005420054200535
11112,-42.005420054200535
11113,-42.005420054200535
11114,-42.005420054200535
11115,-42.005420054200535
11116,-42.005420054200535
11117,-42.005420054200535
11118,-42.005420054200535
11119,-42.005420054200535
11120,-42.005420054200535
11121,-42.005420054200535
11122,-42.005420054200535
11123,-42.005420054200535
11124,-42.005420054200535
11125,-42.005420054200535
11126,-42.005420054200535
11127,-42.005420054200535
11128,-42.005420054200535
11129,-42.005420054200535
11130,-42.005420054200535
11131,-42.005420054200535
11132,-42.005420054200535
11133,-42.005420054200535
11134,-42.005420054200535
11135,-42.005420054200535
11136,-42.005420054200535
11137,-42.005420054200535
11138,-35257.713884993005
11139,-35257.713884993005
11140,-35257.713884993005
11141,-35257.713884993005
11142,-35257.713884993005
11143,-35257.713884993005
11144,-35257.713884993005
11145,-35257.713884993005
11146,-35257.713884993005
11147,-35257.713884993005
11148,-35257.713884993005
11149,-35257.713884993005
11150,-35257.713884993005
11151,-35257.713884993005
11152,-35257.713884993005
11153,-35257.713884993005
11154,-35257.713884993005
11155,-35257.713884993005
11156,-35257.713884993005
11157,-35257.713884993005
