,NAPMPMI Index_ratio
10858,912.6600747114782
10859,912.6600747114782
10860,912.6600747114782
10861,912.6600747114782
10862,912.6600747114782
10863,912.6600747114782
10864,954.2914214071697
10865,954.2914214071697
10866,954.2914214071697
10867,954.2914214071697
10868,954.2914214071697
10869,954.2914214071697
10870,954.2914214071697
10871,954.2914214071697
10872,954.2914214071697
10873,954.2914214071697
10874,954.2914214071697
10875,954.2914214071697
10876,954.2914214071697
10877,954.2914214071697
10878,954.2914214071697
10879,954.2914214071697
10880,954.2914214071697
10881,954.2914214071697
10882,954.2914214071697
10883,954.2914214071697
10884,954.2914214071697
10885,954.2914214071697
10886,954.2914214071697
10887,954.2914214071697
10888,954.2914214071697
10889,954.2914214071697
10890,954.2914214071697
10891,954.2914214071697
10892,954.2914214071697
10893,954.2914214071697
10894,954.2914214071697
10895,954.2914214071697
10896,954.2914214071697
10897,954.2914214071697
10898,954.2914214071697
10899,954.2914214071697
10900,954.2914214071697
10901,954.2914214071697
10902,954.2914214071697
10903,954.2914214071697
10904,954.2914214071697
10905,954.2914214071697
10906,954.2914214071697
10907,954.2914214071697
10908,954.2914214071697
10909,954.2914214071697
10910,954.2914214071697
10911,954.2914214071697
10912,954.2914214071697
10913,954.2914214071697
10914,954.2914214071697
10915,954.2914214071697
10916,954.2914214071697
10917,954.2914214071697
10918,954.2914214071697
10919,954.2914214071697
10920,954.2914214071697
10921,954.2914214071697
10922,954.2914214071697
10923,954.2914214071697
10924,954.2914214071697
10925,954.2914214071697
10926,954.2914214071697
10927,954.2914214071697
10928,954.2914214071697
10929,954.2914214071697
10930,954.2914214071697
10931,954.2914214071697
10932,954.2914214071697
10933,954.2914214071697
10934,954.2914214071697
10935,954.2914214071697
10936,954.2914214071697
10937,954.2914214071697
10938,954.2914214071697
10939,954.2914214071697
10940,954.2914214071697
10941,954.2914214071697
10942,954.2914214071697
10943,954.2914214071697
10944,954.2914214071697
10945,954.2914214071697
10946,954.2914214071697
10947,954.2914214071697
10948,954.2914214071697
10949,954.2914214071697
10950,954.2914214071697
10951,954.2914214071697
10952,954.2914214071697
10953,954.2914214071697
10954,954.2914214071697
10955,954.2914214071697
10956,964.343218908107
10957,964.343218908107
10958,964.343218908107
10959,964.343218908107
10960,964.343218908107
10961,964.343218908107
10962,964.343218908107
10963,964.343218908107
10964,964.343218908107
10965,964.343218908107
10966,964.343218908107
10967,964.343218908107
10968,964.343218908107
10969,964.343218908107
10970,964.343218908107
10971,964.343218908107
10972,964.343218908107
10973,964.343218908107
10974,964.343218908107
10975,964.343218908107
10976,964.343218908107
10977,964.343218908107
10978,964.343218908107
10979,964.343218908107
10980,964.343218908107
10981,964.343218908107
10982,964.343218908107
10983,964.343218908107
10984,964.343218908107
10985,964.343218908107
10986,964.343218908107
10987,964.343218908107
10988,964.343218908107
10989,964.343218908107
10990,964.343218908107
10991,964.343218908107
10992,964.343218908107
10993,964.343218908107
10994,964.343218908107
10995,964.343218908107
10996,964.343218908107
10997,964.343218908107
10998,964.343218908107
10999,964.343218908107
11000,964.343218908107
11001,964.343218908107
11002,964.343218908107
11003,964.343218908107
11004,964.343218908107
11005,964.343218908107
11006,964.343218908107
11007,964.343218908107
11008,964.343218908107
11009,964.343218908107
11010,964.343218908107
11011,964.343218908107
11012,964.343218908107
11013,964.343218908107
11014,964.343218908107
11015,964.343218908107
11016,964.343218908107
11017,964.343218908107
11018,964.343218908107
11019,964.343218908107
11020,964.343218908107
11021,964.343218908107
11022,964.343218908107
11023,964.343218908107
11024,964.343218908107
11025,964.343218908107
11026,964.343218908107
11027,964.343218908107
11028,964.343218908107
11029,964.343218908107
11030,964.343218908107
11031,964.343218908107
11032,964.343218908107
11033,964.343218908107
11034,964.343218908107
11035,964.343218908107
11036,964.343218908107
