,CPUPXCHG Index_ratio
10497,1094.529579472559
10498,1094.529579472559
10499,995.5555555555553
10500,995.5555555555553
10501,995.5555555555553
10502,995.5555555555553
10503,995.5555555555553
10504,995.5555555555553
10505,995.5555555555553
10506,995.5555555555553
10507,995.5555555555553
10508,995.5555555555553
10509,995.5555555555553
10510,995.5555555555553
10511,995.5555555555553
10512,995.5555555555553
10513,995.5555555555553
10514,995.5555555555553
10515,995.5555555555553
10516,995.5555555555553
10517,995.5555555555553
10518,995.5555555555553
10519,995.5555555555553
10520,995.5555555555553
10521,995.5555555555553
10522,995.5555555555553
10523,995.5555555555553
10524,995.5555555555553
10525,995.5555555555553
10526,995.5555555555553
10527,995.5555555555553
10528,995.5555555555553
10529,995.5555555555553
10530,995.5555555555553
10531,995.5555555555553
10532,995.5555555555553
10533,995.5555555555553
10534,995.5555555555553
10535,995.5555555555553
10536,995.5555555555553
10537,995.5555555555553
10538,995.5555555555553
10539,995.5555555555553
10540,995.5555555555553
10541,995.5555555555553
10542,995.5555555555553
10543,995.5555555555553
10544,995.5555555555553
10545,995.5555555555553
10546,995.5555555555553
10547,995.5555555555553
10548,995.5555555555553
10549,995.5555555555553
10550,995.5555555555553
10551,995.5555555555553
10552,995.5555555555553
10553,995.5555555555553
10554,995.5555555555553
10555,995.5555555555553
10556,995.5555555555553
10557,995.5555555555553
10558,995.5555555555553
10559,995.5555555555553
10560,995.5555555555553
10561,995.5555555555553
10562,995.5555555555553
10563,995.5555555555553
10564,995.5555555555553
10565,995.5555555555553
10566,995.5555555555553
10567,995.5555555555553
10568,995.5555555555553
10569,995.5555555555553
10570,995.5555555555553
10571,995.5555555555553
10572,995.5555555555553
10573,995.5555555555553
10574,995.5555555555553
10575,995.5555555555553
10576,995.5555555555553
10577,995.5555555555553
10578,995.5555555555553
10579,995.5555555555553
10580,995.5555555555553
10581,995.5555555555553
10582,995.5555555555553
10583,995.5555555555553
10584,995.5555555555553
10585,995.5555555555553
10586,995.5555555555553
10587,995.5555555555553
10588,995.5555555555553
10589,995.5555555555553
10590,995.5555555555553
10591,1057.2089947089953
10592,1057.2089947089953
10593,1057.2089947089953
10594,1057.2089947089953
10595,1057.2089947089953
10596,1057.2089947089953
10597,1057.2089947089953
10598,1057.2089947089953
10599,1057.2089947089953
10600,1057.2089947089953
10601,1057.2089947089953
10602,1057.2089947089953
10603,1057.2089947089953
10604,1057.2089947089953
10605,1057.2089947089953
10606,1057.2089947089953
10607,1057.2089947089953
10608,1057.2089947089953
10609,1057.2089947089953
10610,1057.2089947089953
10611,1057.2089947089953
10612,1057.2089947089953
10613,1057.2089947089953
10614,1057.2089947089953
10615,1057.2089947089953
10616,1057.2089947089953
10617,1057.2089947089953
10618,1057.2089947089953
10619,1057.2089947089953
10620,1057.2089947089953
10621,1057.2089947089953
10622,1057.2089947089953
10623,1057.2089947089953
10624,1057.2089947089953
10625,1057.2089947089953
10626,1057.2089947089953
10627,1057.2089947089953
10628,1057.2089947089953
10629,1057.2089947089953
10630,1057.2089947089953
10631,1057.2089947089953
10632,1057.2089947089953
10633,1057.2089947089953
10634,1057.2089947089953
10635,1057.2089947089953
10636,1057.2089947089953
10637,1057.2089947089953
10638,1057.2089947089953
10639,1057.2089947089953
10640,1057.2089947089953
10641,1057.2089947089953
10642,1057.2089947089953
10643,1057.2089947089953
10644,1057.2089947089953
10645,1057.2089947089953
10646,1057.2089947089953
10647,1057.2089947089953
10648,1057.2089947089953
10649,1057.2089947089953
10650,1057.2089947089953
10651,1057.2089947089953
10652,1057.2089947089953
10653,1057.2089947089953
10654,1057.2089947089953
10655,1057.2089947089953
10656,1057.2089947089953
10657,1057.2089947089953
10658,1057.2089947089953
10659,1057.2089947089953
10660,1057.2089947089953
10661,1057.2089947089953
10662,1057.2089947089953
10663,1057.2089947089953
10664,1057.2089947089953
10665,1057.2089947089953
10666,1057.2089947089953
10667,1057.2089947089953
10668,1057.2089947089953
10669,1057.2089947089953
10670,1057.2089947089953
10671,1057.2089947089953
10672,1057.2089947089953
10673,1057.2089947089953
10674,1057.2089947089953
10675,1057.2089947089953
10676,1057.2089947089953
10677,1057.2089947089953
10678,1057.2089947089953
10679,1057.2089947089953
10680,1057.2089947089953
10681,989.0109890109892
10682,989.0109890109892
10683,989.0109890109892
10684,989.0109890109892
10685,989.0109890109892
10686,989.0109890109892
10687,989.0109890109892
10688,989.0109890109892
10689,989.0109890109892
10690,989.0109890109892
10691,989.0109890109892
10692,989.0109890109892
10693,989.0109890109892
10694,989.0109890109892
10695,989.0109890109892
10696,989.0109890109892
10697,989.0109890109892
10698,989.0109890109892
10699,989.0109890109892
10700,989.0109890109892
10701,989.0109890109892
10702,989.0109890109892
10703,989.0109890109892
10704,989.0109890109892
10705,989.0109890109892
10706,989.0109890109892
10707,989.0109890109892
10708,989.0109890109892
10709,989.0109890109892
10710,989.0109890109892
10711,989.0109890109892
10712,989.0109890109892
10713,989.0109890109892
10714,989.0109890109892
10715,989.0109890109892
10716,989.0109890109892
10717,989.0109890109892
10718,989.0109890109892
10719,989.0109890109892
10720,989.0109890109892
10721,989.0109890109892
10722,989.0109890109892
10723,989.0109890109892
10724,989.0109890109892
10725,989.0109890109892
10726,989.0109890109892
10727,989.0109890109892
10728,989.0109890109892
10729,989.0109890109892
10730,989.0109890109892
10731,989.0109890109892
10732,989.0109890109892
10733,989.0109890109892
10734,989.0109890109892
10735,989.0109890109892
10736,989.0109890109892
10737,989.0109890109892
10738,989.0109890109892
